LocusLink	Name	P-value	Description
8534	CHST1	7.92E-07	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1.C6ST; KS6ST; KSGAL6ST; KSGal6ST.carbohydrate (keratan sulfate Gal-6) sulfotransferase 1.
1410	CRYAB	8.00E-07	"crystallin, alpha B.CRYA2; CTPP2.crystallin, alpha B."
10912	GADD45G	8.12E-07	"growth arrest and DNA-damage-inducible, gamma.CR6; DDIT2; GRP17; GADD45gamma; GADD45-GAMMA.growth arrest and DNA-damage-inducible, gamma."
7299	TYR	8.15E-07	tyrosinase (oculocutaneous albinism IA).OCA1A; OCAIA.tyrosinase (oculocutaneous albinism IA).
131408		8.38E-07	hypothetical protein MGC21688.
755	C21orf2	8.42E-07	chromosome 21 open reading frame 2.A2; YF5.chromosome 21 open reading frame 2.
23236	PLCB1	9.01E-07	"phospholipase C, beta 1 (phosphoinositide-specific).PLC-I; PI-PLC; PLC-154.phosphoinositide-specific phospholipase C beta 1 isoform b."
12	SERPINA3	9.59E-07	"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3.ACT; AACT.alpha-1-antichymotrypsin, precursor."
2897	GRIK1	9.70E-07	"glutamate receptor, ionotropic, kainate 1.EAA3; EEA3; GLR5; GLUR5.Glutamate receptor, ionotropic, kainate 1 isoform 2 precursor."
8742	TNFSF12	1.02E-06	"tumor necrosis factor (ligand) superfamily, member 12.APO3L; DR3LG; TWEAK; MGC20669.tumor necrosis factor (ligand) superfamily, member 12 isoform 2."
266	AMELY	1.08E-06	"amelogenin, Y-linked.AMGL; AMGY.amelogenin (Y chromosome) precursor."
2172	FABP6	1.10E-06	"fatty acid binding protein 6, ileal (gastrotropin).ILBP; I-15P; ILBP3; ILLBP; I-BABP.gastrotropin."
25809	TTLL1	1.13E-06	"tubulin tyrosine ligase-like family, member 1.C22ORF7; KIAA0173; HS323M22B.tubulin tyrosine ligase-like family, member 1."
21	ABCA3	1.16E-06	"ATP-binding cassette, sub-family A (ABC1), member 3.ABC3; ABC-C; LBM180; EST111653.ATP-binding cassette, sub-family A member 3."
56136	PCDHA13	1.18E-06	protocadherin alpha 13.CNR5; CNRN5; CNRS5; CRNR5; PCDH-ALPHA13.protocadherin alpha 13 isoform 2 precursor.
4745	NELL1	1.18E-06	NEL-like 1 (chicken).NRP1.nel-like 1.
84981		1.19E-06	hypothetical protein MGC14376.
9823		1.19E-06	MGC8742; KIAA0512; MGC13343.ALEX2 protein.
6833	ABCC8	1.22E-06	"ATP-binding cassette, sub-family C (CFTRMRP), member 8.HI; SUR; MRP8; PHHI; SUR1; ABC36; HRINS.ATP-binding cassette, sub-family C, member 8."
134526		1.25E-06	cytosolic acetyl-CoA hydrolase.
57826	RAP2C	1.26E-06	"RAP2C, member of RAS oncogene family..RAP2C, member of RAS oncogene family."
10993	SDS	1.29E-06	serine dehydratase.SDH.serine dehydratase.
745	C11orf9	1.29E-06	chromosome 11 open reading frame 9.KIAA0954; MGC10781.chromosome 11 open reading frame 9.
4744	NEFH	1.30E-06	"neurofilament, heavy polypeptide 200kDa.NFH; KIAA0845.neurofilament, heavy polypeptide 200kDa."
6037	RNASE3	1.31E-06	"ribonuclease, RNase A family, 3 (eosinophil cationic protein).ECP; RNS3.ribonuclease, RNase A family, 3 (eosinophil cationic protein)."
2920	CXCL2	1.31E-06	chemokine (C-X-C motif) ligand 2.GRO2; GROb; MIP2; MIP2A; SCYB2; MGSA-b; MIP-2a; CINC-2a.chemokine (C-X-C motif) ligand 2.
5439	POLR2J	1.33E-06	"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa.RPB11; RPB11A; RPB11m; hRPB14; POLR2J1.DNA directed RNA polymerase II polypeptide J."
3241	HPCAL1	1.35E-06	hippocalcin-like 1.BDR1; HLP2; VILIP-3.hippocalcin-like 1.
8614	STC2	1.40E-06	stanniocalcin 2.STC-2; STCRP.stanniocalcin 2.
9863		1.47E-06	ARIP1; MAGI-2; ACVRIP1; KIAA0705.atrophin-1 interacting protein 1.
2254	FGF9	1.51E-06	fibroblast growth factor 9 (glia-activating factor).GAF; HBFG-9.fibroblast growth factor 9 precursor.
869	CBLN1	1.52E-06	cerebellin 1 precursor..cerebellin 1 precursor.
5602	MAPK10	1.54E-06	mitogen-activated protein kinase 10.JNK3; JNK3A; PRKM10; p493F12; FLJ12099; p54bSAPK.mitogen-activated protein kinase 10 isoform 4.
9945	GFPT2	1.61E-06	glutamine-fructose-6-phosphate transaminase 2.GFAT2.glutamine-fructose-6-phosphate transaminase 2.
1436	CSF1R	1.65E-06	"colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog.FMS; CSFR; FIM2; C-FMS; CD115.colony stimulating factor 1 receptor precursor."
6036	RNASE2	1.69E-06	"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin).EDN; RNS2.ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)."
9510	ADAMTS1	1.70E-06	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1.C3-C5; METH1; KIAA1346.a disintegrin and metalloprotease with thrombospondin motifs-1 preproprotein."
50855	PARD6A	1.83E-06	par-6 partitioning defective 6 homolog alpha (C.elegans).PAR-6; TAX40; PAR-6A; TIP-40; PAR6alpha.Tax interaction protein 40.
2762	GMDS	1.85E-06	"GDP-mannose 4,6-dehydratase.GMD.GDP-mannose 4,6-dehydratase."
23316	CUTL2	1.95E-06	cut-like 2 (Drosophila).KIAA0293..
84747		2.02E-06	hypothetical protein MGC5139.
26289	AK5	2.07E-06	adenylate kinase 5.AK6; MGC33326.adenylate kinase 5 isoform 2.
4359	MPZ	2.10E-06	myelin protein zero (Charcot-Marie-Tooth neuropathy 1B).P0; CHM; DSS; MPP; CMT1B; CMT2I; CMT2J; CMT4E; CMTDI3; HMSNIB.myelin protein zero (Charcot-Marie-Tooth neuropathy 1B).Major peripheral myelin protein P0; structural protein of the peripheral myelin sheath|Proteome
2109	ETFB	2.11E-06	"electron-transfer-flavoprotein, beta polypeptide.MADD.electron-transfer-flavoprotein, beta polypeptide."
54832		2.12E-06	FLJ10381.hypothetical protein FLJ20136.
2940	GSTA3	2.13E-06	glutathione S-transferase A3.GTA3; GSTA3-3; MGC22232.glutathione S-transferase A3.
27115	PDE7B	2.15E-06	phosphodiesterase 7B..phosphodiesterase 7B.
4188	MDFI	2.22E-06	MyoD family inhibitor.I-MF.MyoD family inhibitor.
10158		2.45E-06	DD96.membrane-associated protein 17.
28831	IGLJ3	2.46E-06	immunoglobulin lambda joining 3...
10659	CUGBP2	2.46E-06	"CUG triplet repeat, RNA binding protein 2.Etr-3; NAPOR; BRUNOL3; NAPOR-2.CUG triplet repeat, RNA binding protein 2."
1191	CLU	2.56E-06	"clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J).CLI; APOJ; SGP2; SGP-2; SP-40; TRPM2; TRPM-2.clusterin."
9053	MAP7	2.65E-06	microtubule-associated protein 7.EMAP115; E-MAP-115.microtubule-associated protein 7.
9152	SLC6A5	2.66E-06	"solute carrier family 6 (neurotransmitter transporter, glycine), member 5.GLYT2.solute carrier family 6 (neurotransmitter transporter, glycine), member 5."
6569	SLC34A1	2.85E-06	"solute carrier family 34 (sodium phosphate), member 1.NPT2; SLC11; NAPI-3; NPTIIa; SLC17A2.solute carrier family 34 (sodium phosphate), member 1."
11067	C10orf10	2.87E-06	chromosome 10 open reading frame 10.FIG; DEPP.fasting induced gene.
1855	DVL1	2.87E-06	"dishevelled, dsh homolog 1 (Drosophila).DVL; MGC54245.dishevelled 1 isoform b."
5168	ENPP2	2.92E-06	ectonucleotide pyrophosphatasephosphodiesterase 2 (autotaxin).ATX; PDNP2; LysoPLD; PD-IALPHA.ectonucleotide pyrophosphatasephosphodiesterase 2 (autotaxin).
4665	NAB2	3.04E-06	NGFI-A binding protein 2 (EGR1 binding protein 2).MADER.NGFI-A binding protein 2.NGFI-A binding protein 2; transcriptional corepressor that interacts with NGFI-A|Proteome
26576	STK23	3.19E-06	serinethreonine kinase 23.MSSK1.serinethreonine kinase 23.
3265	HRAS	3.26E-06	v-Ha-ras Harvey rat sarcoma viral oncogene homolog.HRAS1; RASH1.v-Ha-ras Harvey rat sarcoma viral oncogene homolog.Harvey ras; binds GTP and transmits signals from growth factor receptors|Proteome
9997	SCO2	3.28E-06	SCO cytochrome oxidase deficient homolog 2 (yeast).SCO1L.cytochrome oxidase deficient homolog 2.
55565		3.28E-06	hypothetical protein LOC55565.
4060	LUM	3.31E-06	lumican.LDC; SLRR2D.lumican.
3963	LGALS7	3.31E-06	"lectin, galactoside-binding, soluble, 7 (galectin 7).GAL7; PIG1; TP53I1.galectin 7."
3972	LHB	3.41E-06	luteinizing hormone beta polypeptide.CGB4; LSH-B.luteinizing hormone beta subunit precursor.
6988	TCTA	3.52E-06	T-cell leukemia translocation altered gene..T-cell leukemia translocation altered gene.Expressed ubiquitously|Proteome
3623	INHA	3.67E-06	"inhibin, alpha..inhibin alpha subunit precursor."
11031	RAB31	3.68E-06	"RAB31, member RAS oncogene family.Rab22B.RAB31, member RAS oncogene family."
3386	ICAM4	3.76E-06	"intercellular adhesion molecule 4, Landsteiner-Wiener blood group.LW.intercellular adhesion molecule 4 isoform 2 precursor."
773	CACNA1A	3.87E-06	"calcium channel, voltage-dependent, PQ type, alpha 1A subunit.EA2; FHM; MHP; APCA; HPCA; MHP1; SCA6; CACNL1A4.calcium channel, alpha 1A subunit isoform 2."
6812	STXBP1	4.06E-06	syntaxin binding protein 1.UNC18; hUNC18; MUNC18-1.syntaxin binding protein 1.Putative homolog of rat vesicular transport protein Stxbp1; may be a syntaxin binding protein|Proteome
8572		4.41E-06	LIM domain protein.
51706		4.48E-06	B5R.1.cytochrome b5 reductase 1 (B5R.1).
1364	CLDN4	4.72E-06	claudin 4.CPER; CPE-R; CPETR; CPETR1; WBSCR8; hCPE-R.claudin 4.
2052	EPHX1	4.75E-06	"epoxide hydrolase 1, microsomal (xenobiotic).MEH; EPHX; EPOX.epoxide hydrolase 1, microsomal (xenobiotic)."
5116	PCNT2	4.79E-06	pericentrin 2 (kendrin).KEN; PCN; PCNT; PCNTB; PCTN2; KIAA0402.pericentrin B.
10231	DSCR1L1	4.81E-06	Down syndrome critical region gene 1-like 1.CSP2; MCIP2; ZAKI-4.Down syndrome critical region gene 1-like 1 protein.Induced by triiodothyronine (T3)|Proteome
10418	SPON1	4.82E-06	"spondin 1, (f-spondin) extracellular matrix protein.KIAA0762; MGC10724.spondin 1, (f-spondin) extracellular matrix protein.Very strongly similar to rat F-spondin (Rn.7546); may have a role in the growth and guidance of axons|Proteome"
6712	SPTBN2	4.87E-06	"spectrin, beta, non-erythrocytic 2..spectrin, beta, non-erythrocytic 2."
8468	FKBP6	4.92E-06	"FK506 binding protein 6, 36kDa.FKBP36; PPIase.FK506-binding protein 6."
1755	DMBT1	4.93E-06	deleted in malignant brain tumors 1.GP340.deleted in malignant brain tumors 1 isoform c precursor.
3084	NRG1	4.95E-06	neuregulin 1.GGF; HGL; HRG; NDF; ARIA; GGF2; HRGA; SMDF.neuregulin 1 isoform ndf43.
3908	LAMA2	5.04E-06	"laminin, alpha 2 (merosin, congenital muscular dystrophy).LAMM.laminin alpha 2 subunit precursor."
6404	SELPLG	5.05E-06	selectin P ligand.CD162; PSGL1; PSGL-1.selectin P ligand.
1993	ELAVL2	5.06E-06	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B).HUB; HELN1; HEL-N1.ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)."
634	CEACAM1	5.09E-06	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein).BGP; BGP1; BGPI; CD66; CD66A; CD66a.carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein).Biliary glycoprotein I; plays a role in cell adhesion; member of carcinoembryonic antigen group of immunoglobulin superfamily|Proteome
7301	TYRO3	5.13E-06	TYRO3 protein tyrosine kinase.BYK; RSE.TYRO3 protein tyrosine kinase.
6752	SSTR2	5.23E-06	somatostatin receptor 2..somatostatin receptor 2.
10654	PMVK	5.25E-06	phosphomevalonate kinase.PMK; PMKA; PMKASE; HUMPMKI.phosphomevalonate kinase.
10261	IGSF6	5.34E-06	"immunoglobulin superfamily, member 6.DORA.immunoglobulin superfamily, member 6."
2207	FCER1G	5.68E-06	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide..Fc fragment of IgE, high affinity I, receptor for, gamma polypeptide precursor."
10732	TCFL5	5.73E-06	transcription factor-like 5 (basic helix-loop-helix).CHA; E2BP-1; MGC46135.transcription factor-like 5 protein.
4793	NFKBIB	5.91E-06	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta.IKBB; TRIP9.nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta.I kappa B-beta; may be T3-dependent transcriptional activator|Proteome"
3892	KRTHB6	5.98E-06	"keratin, hair, basic, 6 (monilethrix).HB6; MNX; hHb6.keratin, hair, basic, 6."
54861		6.05E-06	HSNFRK; FLJ20224; KIAA0096.SNF-1 related kinase.
835	CASP2	6.23E-06	"caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2).ICH1; NEDD2; CASP-2; ICH-1L; ICH-1L1S.caspase 2 isoform 4."
9399	STOML1	6.51E-06	"stomatin (EPB72)-like 1.SLP-1; STORP; hUNC-24.stomatin (EPB72)-like 1.Stomatin-like protein 1; similar to C. elegans UNC-24, contains an N-terminal stomatin-like and a C-terminal non-specific lipid transfer protein domain|Proteome"
10656	KHDRBS3	6.65E-06	"KH domain containing, RNA binding, signal transduction associated 3.Etle; SALP; SLM2; SLM-2; T-STAR; etoile.KH domain containing, RNA binding, signal transduction associated 3."
684	BST2	6.69E-06	bone marrow stromal cell antigen 2..bone marrow stromal cell antigen 2.
4052	LTBP1	6.73E-06	latent transforming growth factor beta binding protein 1..latent transforming growth factor beta binding protein 1 precursor.
3321	IGSF3	6.74E-06	"immunoglobulin superfamily, member 3.V8; EWI-3.immunoglobulin superfamily, member 3.Contains immunoglobulin domains|Proteome"
2596	GAP43	6.94E-06	growth associated protein 43.B-50; PP46.growth associated protein 43.
1645	AKR1C1	7.10E-06	"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase).C9; DD1; DDH; DDH1; H-37; MBAB; HAKRC; MGC8954; 2-ALPHA-HSD; 20-ALPHA-HSD.aldo-keto reductase family 1, member C1."
3695	ITGB7	7.11E-06	"integrin, beta 7..integrin, beta 7."
10404		7.40E-06	plasma glutamate carboxypeptidase.Plasma glutamate carboxypeptidase; may have glutamate carboxypeptidase activity; similar to metallopeptidases|Proteome
5217	PFN2	7.97E-06	profilin 2.PFL; D3S1319E.profilin 2 isoform b.
4005	LMO2	8.14E-06	LIM domain only 2 (rhombotin-like 1).TTG2; RBTN2; RHOM2; RBTNL1.LIM domain only 2.
1549	CYP2A7	8.28E-06	"cytochrome P450, family 2, subfamily A, polypeptide 7.CPA7; CPAD; CYPIIA7; P450-IIA4.cytochrome P450, family 2, subfamily A, polypeptide 7 isoform 2."
114782		8.35E-06	
3713	IVL	8.39E-06	involucrin..involucrin.
4356	MPP3	9.24E-06	"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3).DLG3.palmitoylated membrane protein 3."
7074	TIAM1	9.35E-06	T-cell lymphoma invasion and metastasis 1..T-cell lymphoma invasion and metastasis 1.
27347	STK39	9.56E-06	"serine threonine kinase 39 (STE20SPS1 homolog, yeast).DCHT; SPAK.serine threonine kinase 39 (STE20SPS1 homolog, yeast)."
929	CD14	9.71E-06	CD14 antigen..CD14 antigen precursor.
2139	EYA2	9.85E-06	eyes absent homolog 2 (Drosophila).EAB1; MGC10614.eyes absent 2 isoform c.
23743	BHMT2	9.93E-06	betaine-homocysteine methyltransferase 2.FLJ20001.betaine-homocysteine methyltransferase 2.
3292	HSD17B1	1.00E-05	hydroxysteroid (17-beta) dehydrogenase 1.HSD17; EDHB17; EDH17B2.hydroxysteroid (17-beta) dehydrogenase 1.Type 1 17 beta-hydroxysteroid dehydrogenase 1 (17-ketosteroid reductase); acts upon C18 steroids|Proteome
140885	PTPNS1	1.00E-05	"protein tyrosine phosphatase, non-receptor type substrate 1.BIT; MFR; P84; SIRP; MYD-1; SHPS1; SHPS-1; SIRPalpha; SIRPalpha2; SIRP-ALPHA-1.protein tyrosine phosphatase, non-receptor type substrate 1 precursor."
6363	CCL19	1.02E-05	chemokine (C-C motif) ligand 19.ELC; CKb11; MIP3B; MIP-3b; SCYA19; MGC34433.small inducible cytokine A19 precursor.
4953	ODC1	1.03E-05	ornithine decarboxylase 1..ornithine decarboxylase 1.
51363		1.03E-05	BRAG; KIAA0598.B cell RAG associated protein.
6358	CCL14	1.10E-05	chemokine (C-C motif) ligand 14.CC-1; CC-3; CKb1; MCIF; NCC2; SY14; HCC-1; HCC-3; NCC-2; SCYL2; SCYA14.chemokine (C-C motif) ligand 14 isoform 2 precursor.
1814	DRD3	1.18E-05	dopamine receptor D3.D3DR.dopamine receptor D3 isoform e.
11314		1.18E-05	IRC1; IRC2; IRp60; CMRF35H; CMRF35H9; CMRF-35-H9.leukocyte membrane antigen.
5553	PRG2	1.20E-05	"proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein).MBP; BMPG.proteoglycan 2."
883	CCBL1	1.21E-05	"cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)..cytoplasmic cysteine conjugate-beta lyase."
9147	SDCCAG1	1.21E-05	serologically defined colon cancer antigen 1.NY-CO-1; FLJ10051.serologically defined colon cancer antigen 1.
10873	ME3	1.27E-05	"malic enzyme 3, NADP()-dependent, mitochondrial..malic enzyme 3, NADP()-dependent, mitochondrial."
25799	ZNF324	1.35E-05	zinc finger protein 324.ZF5128.zinc finger protein 324.
9980	C21orf5	1.40E-05	chromosome 21 open reading frame 5.pad-1; KIAA0933.pad-1-like.
64981	MRPL34	1.43E-05	mitochondrial ribosomal protein L34.L34mt; MGC2633; MGC24974.mitochondrial ribosomal protein L34.
10752	CHL1	1.44E-05	cell adhesion molecule with homology to L1CAM (close homolog of L1).CALL; L1CAM2.cell adhesion molecule with homology to L1CAM precursor.
920	CD4	1.44E-05	CD4 antigen (p55)..CD4 antigen (p55).
9356	SLC22A6	1.46E-05	"solute carrier family 22 (organic anion transporter), member 6.OAT1; PAHT; HOAT1; ROAT1; MGC45260.solute carrier family 22 member 6 isoform e."
3763	KCNJ6	1.47E-05	"potassium inwardly-rectifying channel, subfamily J, member 6.BIR1; GIRK2; KATP2; KCNJ7; KIR3.2; hiGIRK2.potassium inwardly-rectifying channel J6."
5719	PSMD13	1.48E-05	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13.p40.5; HSPC027.proteasome 26S non-ATPase subunit 13 isoform 2."
84919	PPP1R15B	1.51E-05	"protein phosphatase 1, regulatory (inhibitor) subunit 15B.FLJ14744.protein phosphatase 1, regulatory subunit 15B."
1773	DNASE1	1.52E-05	deoxyribonuclease I.DNL1.deoxyribonuclease I.
8436	SDPR	1.52E-05	serum deprivation response (phosphatidylserine binding protein).SDR; PS-p68.serum deprivation response protein.
4495	MT1G	1.54E-05	metallothionein 1G.MT1; MGC12386.metallothionein 1G.
2735	GLI	1.63E-05	glioma-associated oncogene homolog (zinc finger protein).GLI1.glioma-associated oncogene homolog.
398	ARHGDIG	1.65E-05	Rho GDP dissociation inhibitor (GDI) gamma..Rho GDP dissociation inhibitor (GDI) gamma.
6782	STCH	1.67E-05	"stress 70 protein chaperone, microsome-associated, 60kDa..stress 70 protein chaperone, microsome-associated, 60kDa."
6530	SLC6A2	1.68E-05	"solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2.NET; NAT1; NET1; SLC6A5.solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2."
1909	EDNRA	1.69E-05	"endothelin receptor type A.ETA; ETRA.endothelin receptor type A.Endothelin A receptor; binds endothelins, induces intracellular calcium flux and arachidonic acid accumulation; member of the G protein-coupled receptor family|Proteome"
4318	MMP9	1.70E-05	"matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase).GELB; CLG4B.matrix metalloproteinase 9 preproprotein."
23544	SEZ6L	1.74E-05	seizure related 6 homolog (mouse)-like.KIAA0927.seizure related 6 homolog (mouse)-like.
6652	SORD	1.77E-05	sorbitol dehydrogenase.SORD1.sorbitol dehydrogenase.
7436	VLDLR	1.79E-05	very low density lipoprotein receptor..very low density lipoprotein receptor.Very low density lipoprotein receptor; required for proper development of the cerebral cortex and cerebellum; very strongly similar to murine Vldlr|Proteome
9805		1.81E-05	KIAA0193.secernin 1.
444	ASPH	1.86E-05	aspartate beta-hydroxylase.BAH; HAAH; JCTN; CASQ2BP1.aspartate beta-hydroxylase isoform e.
6570	SLC18A1	1.86E-05	"solute carrier family 18 (vesicular monoamine), member 1.CGAT; VAT1; VMAT1.solute carrier family 18 (vesicular monoamine), member 1.Strongly similar to rat synaptic vesicle amine transporter (Slc18a1) ; may reduce susceptibility to N-methyl-4-phenylpyridinium (MPP)|Proteome"
4753	NELL2	1.94E-05	NEL-like 2 (chicken).NRP2.nel-like 2.
5649	RELN	1.94E-05	reelin.RL.reelin isoform b.
3851	KRT4	1.96E-05	keratin 4.K4; CK4; CYK4; FLJ31692.keratin 4.
10245	TIMM17B	1.98E-05	translocase of inner mitochondrial membrane 17 homolog B (yeast).JM3; TIM17B; DXS9822.translocase of inner mitochondrial membrane 17 homolog B.
51754		2.04E-05	NAG-5 protein.
27289		2.17E-05	RND1.GTP-binding protein RHO6.
1850	DUSP8	2.17E-05	dual specificity phosphatase 8.HB5; HVH8; HVH-5.dual specificity phosphatase 8.
